latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemin,humidity,precip,preciptype,cloudcover,conditions,description,stations
39.952,-75.162,2021-06-03,79,62.3,69.1,62.3,83.5,0.41,rain,91.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-04,79.6,68.4,72.6,68.4,83.4,0.696,rain,79.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-06-05,91.4,65.1,78.7,65.1,64.1,0,,22.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-06,92.1,68.5,81.6,68.5,60.4,0,,18,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-07,92.6,72.7,82.5,72.7,66.6,0,,50.3,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-08,86.6,72.8,77.7,72.8,82.8,0.463,rain,66.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-09,88,70.4,78.1,70.4,79.3,0.092,rain,64.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,E1527,DE045,KPNE"
39.952,-75.162,2021-06-10,82.3,66.3,75.4,66.3,62.1,0.001,rain,62.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-06-11,66.6,63.4,64.5,63.4,81,0.148,rain,98.7,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-12,76.8,63.6,69.4,63.6,73.6,0,,91.3,Overcast,Cloudy skies throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-06-13,77.6,63.4,70.1,63.4,72.2,0,,93,Overcast,Cloudy skies throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-14,83.3,65.7,73.1,65.7,71.8,0.584,rain,89.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-06-15,79.7,65.1,72.2,65.1,67.1,0.14,rain,51.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-16,78.4,62.8,70.9,62.8,47.6,0.001,rain,34.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-17,77.7,56.4,68.6,56.4,40.9,0.008,rain,23.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-18,83.8,58.7,72.9,58.7,52.3,0,,30.3,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-19,87.4,67.6,76.2,67.6,69.6,0.081,rain,72.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F5255,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-20,88.5,65.4,77.7,65.4,70.8,0.001,rain,59.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-21,87.9,71.8,79.2,71.8,77.3,0.089,rain,78.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"F5255,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-22,74.8,62.3,69.1,62.3,85,0.219,rain,84.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
